title,developer,publisher,genre,na_date,eu_date,jp_date,au_date,asia_date,kr_date,format,media,notes
Deep Ones,Burp! Games,Sometimes You,Platform,Yes,,,,,,,,
Deep Space Rush,Ratalaika Games,Ratalaika Games,Shooter,Yes,,,,,,,,
Defender's Quest,Level Up Labs,Level Up Labs,Tower defense role-playing,No,,,,,,,,
Delta Strike: First Assault,Cerberus,Cerberus,Shooter,No,,,,,,,,
Demetrios,CowCat,CowCat,Adventure,Yes,,,,,,,,
Demon Gaze,Experience,JP : Kadokawa Games WW : NIS America,Dungeon crawler,Yes,,,,,,,,
Demon Gaze II,Experience,JP : Kadokawa Games WW : NIS America,Dungeon crawler,Yes,,,,,,,,
"Demon Rush, The: Legends Corrupt",Dragoon Entertainment Ltd.,Dragoon Entertainment Ltd.,Role-playing,No,,,,,,,,
Demon's Tier+,CowCat,CowCat,Dungeon crawler,Yes,,,,,,,,
Dengeki Bunko: Fighting Climax,Ecole Software French Bread,Sega,Fighting,No,,,,,,,,
Dengeki Bunko: Fighting Climax Ignition,Ecole Software French Bread,Sega,Fighting,No,,,,,,,,
Desert Ashes,Nine Tales Digital,Nine Tales Digital,Tower defense,Yes (1-2 players),,,,,,,,
Desire Remaster Version,El Dia,Red Flagship,Visual novel Adventure,Yes,,,,,,,,
Destiny of Spirits,Japan Studio Q Entertainment,Sony Computer Entertainment,Strategy role-playing,No,,,,,,,,
